Ticker,Avg Stock Price All Time,Stock Trend,Average Returns % (Mean),Standard Deviation,"Cov (Stock, Market)",Variance (Market),Beta,"R2_score (Indicators: GDP, Inf, Unemp, CCI)"
IT,157.59,Decreasing,22.1,25.71,0.026,0.0661,0.39,0.9632894101109822
IVZ,19.12,Increasing,2.63,38.15,0.0423,0.1455,0.29,0.8622093924952074
JBHT,111.41,Decreasing,11.61,13.99,0.0129,0.0196,0.66,0.9618249794497761
JBL,37.09,Decreasing,21.41,26.41,0.0128,0.0698,0.18,0.9380375848295898
JCI,38.91,Decreasing,11.48,25.73,0.0259,0.0662,0.39,0.9314258996148157
JKHY,112.3,Increasing,14.73,12.99,-0.001,0.0169,-0.06,0.9856155909530234
JNJ,113.44,Decreasing,9.66,7.83,0.0051,0.0061,0.84,0.9602758433535419
JNPR,22.45,Decreasing,7.0,11.77,0.01,0.0138,0.72,0.9550612324455782
JPM,86.2,Increasing,15.41,18.98,0.0196,0.036,0.54,0.9684279880570241
J,77.04,Decreasing,10.47,17.65,0.0116,0.0312,0.37,0.9624166873644721
KDP,19.83,Decreasing,20.03,17.5,0.0066,0.0306,0.22,0.9830289685526559
KEY,12.43,Decreasing,7.9,27.56,0.0301,0.076,0.4,0.8667353019410653
KIM,15.54,Decreasing,6.64,25.59,0.0141,0.0655,0.22,0.9218279776073299
KKR,29.21,Decreasing,18.93,29.91,0.0314,0.0895,0.35,0.9486174612404165
KLAC,163.29,Decreasing,30.1,20.56,0.0172,0.0423,0.41,0.958862725351018
KMB,100.57,Decreasing,7.04,9.12,-0.003,0.0083,-0.36,0.9578096037343573
KMI,15.71,Decreasing,-0.71,18.15,0.0075,0.0329,0.23,0.9078347026917037
KMX,73.42,Decreasing,7.2,22.59,0.0223,0.051,0.44,0.9069732777546503
KO,40.71,Decreasing,7.68,5.5,0.0001,0.003,0.03,0.9835207411325826
KR,29.27,Increasing,14.28,22.84,0.0029,0.0522,0.06,0.9526001840707329
K,50.38,Increasing,3.91,9.03,-0.0043,0.0081,-0.53,0.9323360569493607
LDOS,60.25,Decreasing,16.79,13.49,0.0015,0.0182,0.08,0.9823440975327167
LEN,59.34,Decreasing,14.58,20.45,0.0139,0.0418,0.33,0.9261127597388357
LHX,130.27,Increasing,17.08,15.88,0.0094,0.0252,0.37,0.9826937539425804
LH,141.21,Decreasing,10.82,16.28,0.0168,0.0265,0.63,0.9492578250255026
LIN,180.38,Decreasing,15.05,12.23,0.008,0.015,0.53,0.9657539443145604
LKQ,33.72,Decreasing,8.83,19.84,0.0166,0.0394,0.42,0.9487459606857738
LLY,146.36,Decreasing,28.3,16.44,0.0033,0.027,0.12,0.9547454432128173
LMT,263.8,Increasing,19.03,14.53,-0.001,0.0211,-0.05,0.9836186252791208
LNT,36.25,Decreasing,11.42,8.83,0.0016,0.0078,0.21,0.9778021580070435
LOW,106.43,Decreasing,20.17,15.63,0.0129,0.0244,0.53,0.9597998899995154
LRCX,245.22,Decreasing,34.44,31.31,0.0283,0.098,0.29,0.9404764493700313
LULU,177.7,Decreasing,23.67,35.65,-0.0032,0.1271,-0.03,0.9587565472378505
LUV,38.96,Decreasing,14.66,38.64,0.0297,0.1493,0.2,0.9453391387302144
LVS,48.49,Increasing,4.1,20.13,0.0029,0.0405,0.07,0.8649859522241596
LYB,65.29,Decreasing,9.92,20.58,0.0208,0.0424,0.49,0.9157106927271559
LYV,50.61,Decreasing,21.42,27.08,0.0281,0.0734,0.38,0.9736122440435323
L,46.77,Decreasing,4.71,15.31,0.0112,0.0234,0.48,0.9484841429787004
MAA,95.3,Decreasing,13.35,17.15,0.012,0.0294,0.41,0.9554960220948224
MAR,105.12,Decreasing,19.3,22.27,0.0188,0.0496,0.38,0.9731538681502266
MAS,35.8,Decreasing,14.22,12.19,0.0053,0.0149,0.36,0.9520198432296997
MA,203.55,Decreasing,21.86,15.12,0.0062,0.0229,0.27,0.9798447656824759
MCD,153.6,Decreasing,14.44,8.16,0.0017,0.0067,0.25,0.9854422849015585
MCHP,41.7,Decreasing,19.3,18.59,0.0172,0.0346,0.5,0.9600824926634738
MCK,192.25,Decreasing,16.48,26.62,0.0021,0.0709,0.03,0.9569426378681424
MCO,180.71,Decreasing,20.51,16.61,0.0132,0.0276,0.48,0.958557425380268
MDLZ,43.43,Decreasing,11.05,7.34,0.0009,0.0054,0.17,0.9674451882097148
MDT,74.15,Increasing,8.03,13.7,0.0105,0.0188,0.56,0.9456020695910534
META,164.85,Increasing,27.12,32.78,0.0186,0.1074,0.17,0.9334000926355989
MET,40.87,Decreasing,9.73,19.95,0.0204,0.0398,0.51,0.9556493155200727
MGM,27.96,Decreasing,14.44,31.57,0.0322,0.0996,0.32,0.9096382434695116
MHK,157.23,Decreasing,3.23,34.08,0.0352,0.1161,0.3,0.8966418944283565
MKC,56.88,Decreasing,11.13,12.15,-0.0034,0.0148,-0.23,0.9805808312358191
MKTX,222.02,Decreasing,24.1,29.88,-0.0016,0.0893,-0.02,0.9501545127595179
MLM,223.65,Decreasing,17.42,17.58,0.0162,0.0309,0.52,0.9512089913479049
MMC,89.75,Decreasing,18.45,6.94,0.0068,0.0048,1.42,0.9690071127282802
MMM,107.39,Decreasing,3.76,18.11,0.0168,0.0328,0.51,0.9130552515583273
MNST,30.51,Decreasing,20.92,20.68,0.0072,0.0428,0.17,0.9392607198816656
MOH,141.9,Decreasing,27.13,24.42,0.0128,0.0596,0.21,0.9692805486475123
MOS,31.83,Decreasing,5.77,42.51,0.029,0.1807,0.16,0.8987042337476014
MO,33.29,Increasing,9.51,15.97,0.0072,0.0255,0.28,0.9521323673848505
MPC,52.98,Decreasing,21.98,33.48,0.0134,0.1121,0.12,0.9502060541591174
MPWR,188.52,Decreasing,36.82,22.93,0.0206,0.0526,0.39,0.9560448375891956
MRK,59.05,Decreasing,13.37,11.23,-0.0036,0.0126,-0.29,0.9719689120695557
MRO,18.26,Decreasing,9.98,52.42,0.0235,0.2748,0.09,0.8829476990372369
MSCI,224.23,Decreasing,33.28,20.6,0.0142,0.0424,0.33,0.9641550582953692
MSFT,133.42,Decreasing,28.71,15.18,0.0106,0.023,0.46,0.9641654613002518
MSI,128.57,Decreasing,19.73,13.57,0.0074,0.0184,0.4,0.9755223991705433
MS,45.29,Decreasing,18.86,30.24,0.0336,0.0915,0.37,0.9493406842137655
MTB,117.92,Increasing,6.35,19.55,0.0154,0.0382,0.4,0.9182189914792158
MTCH,50.45,Decreasing,22.53,48.61,0.0313,0.2363,0.13,0.897954600395694
MTD,719.54,Decreasing,20.61,18.52,0.0176,0.0343,0.51,0.962497827011201
MU,41.7,Decreasing,28.26,54.92,0.0448,0.3017,0.15,0.9463102082746284
NCLH,36.78,Decreasing,-1.0,30.26,0.0185,0.0915,0.2,0.9754611076604666
NDAQ,30.38,Decreasing,20.41,15.55,0.0133,0.0242,0.55,0.9604312935786697
NDSN,135.34,Decreasing,14.54,13.39,0.0075,0.0179,0.42,0.9621588892592767
NEE,42.66,Decreasing,16.99,12.47,0.0062,0.0156,0.4,0.9596329376058386
NEM,34.19,Decreasing,8.33,28.03,-0.0072,0.0786,-0.09,0.9129534810134935
NFLX,252.74,Increasing,34.09,37.76,0.0185,0.1426,0.13,0.9648579171721761
NI,18.99,Increasing,13.02,13.86,-0.0012,0.0192,-0.06,0.9820507162732184
NKE,76.37,Decreasing,16.29,19.61,0.015,0.0384,0.39,0.9530618834319997
NOC,260.39,Increasing,21.19,15.93,0.0011,0.0254,0.04,0.9893015681096167
NOW,252.05,Decreasing,31.82,26.21,0.0156,0.0687,0.23,0.9525586030740826
NRG,26.19,Increasing,10.57,32.18,0.0185,0.1036,0.18,0.9721003322103725
NSC,143.56,Decreasing,15.06,19.53,0.019,0.0382,0.5,0.9712877574396976
NTAP,46.75,Decreasing,13.94,34.75,0.0305,0.1208,0.25,0.950587656287081
NTRS,72.02,Increasing,7.5,17.26,0.0185,0.0298,0.62,0.9348922394905759
NUE,65.27,Decreasing,19.99,34.86,0.0262,0.1215,0.22,0.966085355292641
NVDA,9.17,Decreasing,72.15,61.75,0.0171,0.3813,0.04,0.9307955335397914
NVR,2982.03,Decreasing,20.72,15.39,0.0111,0.0237,0.47,0.9612138789542789
NWSA,15.11,Decreasing,5.61,27.12,0.0281,0.0735,0.38,0.90429678883607
NWS,15.21,Decreasing,5.21,24.52,0.0247,0.0601,0.41,0.9021732564186067
NXPI,108.67,Decreasing,23.36,31.31,0.0285,0.098,0.29,0.92679039488428
ODFL,68.12,Decreasing,31.44,22.91,0.0188,0.0525,0.36,0.9584355530258584
OKE,37.62,Decreasing,14.94,28.91,0.0197,0.0836,0.24,0.9557044897412188
OMC,60.55,Increasing,7.5,13.86,0.0071,0.0192,0.37,0.9249502550928007
ON,27.99,Decreasing,30.69,33.32,0.0292,0.111,0.26,0.9687643267435415
ORCL,52.06,Decreasing,14.9,17.24,0.0137,0.0297,0.46,0.9394785468678962
ORLY,389.73,Decreasing,24.25,16.4,0.0011,0.0269,0.04,0.9677067664751624
OXY,51.59,Increasing,9.08,45.31,0.0016,0.2053,0.01,0.8644563542986027
O,43.69,Decreasing,9.17,14.77,-0.0004,0.0218,-0.02,0.969250271765921
PANW,85.39,Decreasing,33.61,33.39,0.0197,0.1115,0.18,0.9641320657159627
PARA,38.54,Increasing,-4.09,31.49,0.0351,0.0991,0.35,0.9294654860665432
PAYX,64.35,Decreasing,15.78,11.69,0.0094,0.0137,0.69,0.9721531087621931
PCAR,40.46,Decreasing,13.19,12.79,0.0026,0.0164,0.16,0.9395706658400678
PCG,32.25,Increasing,-2.05,28.41,-0.0022,0.0807,-0.03,0.9669771874721584
PEG,41.74,Increasing,10.63,7.89,0.0054,0.0062,0.87,0.9849590706073771
PEP,106.48,Decreasing,11.49,5.03,0.0004,0.0025,0.16,0.976439127149097
PFE,28.3,Increasing,7.71,13.66,0.008,0.0186,0.43,0.9549439054158393
PFG,46.2,Decreasing,12.79,22.46,0.0198,0.0504,0.39,0.956999835773095
PGR,60.98,Decreasing,22.7,10.62,-0.0007,0.0113,-0.06,0.9755461547974448
PG,92.39,Decreasing,10.26,11.43,-0.0005,0.0131,-0.04,0.9656970933237847
PHM,31.85,Decreasing,17.78,21.76,0.0065,0.0473,0.14,0.9315087574742894
PH,178.59,Decreasing,17.53,19.93,0.0171,0.0397,0.43,0.9491021905426218
PKG,85.92,Decreasing,15.65,18.93,0.0174,0.0358,0.49,0.9629203319255133
PLD,67.51,Decreasing,15.85,11.77,0.0078,0.0138,0.57,0.9598536756640517
PM,66.85,Decreasing,6.62,12.6,0.0055,0.0159,0.35,0.9507562192324175
PNC,102.6,Decreasing,11.92,24.21,0.0276,0.0586,0.47,0.9380122238578024
PNR,42.65,Decreasing,8.5,23.4,0.0225,0.0548,0.41,0.8822311814180663
PNW,58.58,Increasing,7.8,10.32,-0.0018,0.0107,-0.17,0.9716146663772603
PODD,125.99,Decreasing,27.03,29.81,0.0121,0.0889,0.14,0.9562395757082198
POOL,189.07,Decreasing,24.59,21.66,0.016,0.0469,0.34,0.9551267628492465
PPG,103.78,Decreasing,8.39,15.17,0.0161,0.023,0.7,0.9109506396844919
PPL,23.37,Increasing,4.72,9.93,0.0017,0.0099,0.17,0.9392690302009175
PRU,68.86,Increasing,8.76,22.26,0.0223,0.0496,0.45,0.921793694103864
PSA,185.42,Decreasing,11.2,15.76,0.0086,0.0248,0.35,0.9642955072008614
PSX,68.23,Decreasing,10.94,17.14,0.0055,0.0294,0.19,0.9521519414866196
PTC,75.25,Increasing,20.66,25.31,0.024,0.064,0.38,0.9566404684334945
PWR,60.52,Decreasing,24.75,34.81,0.0265,0.1212,0.22,0.9618813586133708
QCOM,76.53,Decreasing,11.06,20.85,0.0129,0.0435,0.3,0.9576514733394685
RCL,77.22,Decreasing,15.83,33.66,0.0193,0.1133,0.17,0.9459648508118718
REGN,465.59,Decreasing,15.25,24.81,-0.001,0.0615,-0.02,0.9283176730705304
REG,48.74,Increasing,7.36,18.66,0.0112,0.0348,0.32,0.9403400267051564
RF,12.12,Decreasing,13.86,28.32,0.0291,0.0802,0.36,0.9537739844190024
RJF,55.22,Decreasing,16.96,23.95,0.0244,0.0573,0.43,0.9679376312777458
RL,103.71,Increasing,1.08,25.21,0.0149,0.0636,0.23,0.8695722833800111
RMD,117.14,Decreasing,18.18,18.5,0.0103,0.0342,0.3,0.9450421405337378
ROK,165.2,Decreasing,15.47,18.39,0.0157,0.0338,0.46,0.9495172348715554
ROL,21.36,Increasing,20.19,13.8,0.006,0.019,0.32,0.9761606852886774
ROP,283.28,Decreasing,15.3,9.89,0.0065,0.0098,0.66,0.9770480190657127
ROST,74.06,Increasing,15.57,16.8,0.0056,0.0282,0.2,0.9735593344701896
RSG,72.3,Decreasing,18.48,7.47,0.0049,0.0056,0.88,0.976066723869938
RTX,66.1,Decreasing,6.93,11.89,0.0091,0.0141,0.65,0.9754022042045369
RVTY,85.25,Decreasing,14.76,18.5,0.0195,0.0342,0.57,0.9444234161541588
SBAC,180.7,Decreasing,14.09,18.93,0.0084,0.0358,0.23,0.9627548670586669
SBUX,62.24,Decreasing,15.31,19.78,0.0095,0.0391,0.24,0.9600823013139365
SCHW,41.88,Decreasing,16.33,29.51,0.0331,0.0871,0.38,0.9450621434308779
SHW,149.21,Decreasing,17.65,14.39,0.0136,0.0207,0.66,0.9579581044077139
SJM,100.42,Decreasing,6.39,9.03,-0.0009,0.0082,-0.11,0.9600958711227434
SLB,49.57,Increasing,3.03,29.62,0.0094,0.0877,0.11,0.9269407733534591
SMCI,43.58,Decreasing,47.53,81.42,-0.018,0.6629,-0.03,0.8593894999133483
SNA,147.54,Decreasing,14.65,18.08,0.0151,0.0327,0.46,0.9377322865589537
SNPS,153.24,Decreasing,29.19,16.58,0.0089,0.0275,0.32,0.9584465215422439
SO,42.94,Decreasing,9.88,9.21,-0.0018,0.0085,-0.21,0.9721009943910907
SPGI,207.57,Decreasing,22.69,15.26,0.0113,0.0233,0.48,0.9546245736430664
SPG,107.67,Increasing,5.82,27.57,0.0212,0.076,0.28,0.9397873444810617
SRE,50.2,Decreasing,9.65,10.21,0.0003,0.0104,0.03,0.9797976537778524
STE,116.65,Decreasing,19.29,12.46,0.0091,0.0155,0.59,0.9737159910345948
STLD,38.93,Decreasing,28.13,33.22,0.0236,0.1103,0.21,0.9604260865579605
STT,62.52,Decreasing,5.63,19.02,0.0177,0.0362,0.49,0.8597717248577696
STX,43.33,Decreasing,13.98,30.56,0.0336,0.0934,0.36,0.93348498678564
STZ,160.17,Increasing,19.25,20.86,0.0119,0.0435,0.27,0.9791796878547726
SWKS,83.97,Decreasing,25.6,44.68,0.0284,0.1996,0.14,0.8962508542441907
SWK,106.82,Decreasing,5.24,20.53,0.0182,0.0422,0.43,0.926412188092988
SYK,157.84,Decreasing,17.29,11.19,0.0092,0.0125,0.74,0.9749554530173172
SYY,51.36,Increasing,11.83,13.48,0.0079,0.0182,0.43,0.9842467055998662
TAP,55.82,Decreasing,6.14,20.51,0.0045,0.0421,0.11,0.9061353936320001
TDG,349.98,Decreasing,26.4,15.71,0.0044,0.0247,0.18,0.9676799248730025
TDY,234.59,Decreasing,19.09,17.36,0.0112,0.0302,0.37,0.9786648767578039
TECH,48.59,Decreasing,18.86,26.58,0.0269,0.0707,0.38,0.9385380850097761
TEL,81.7,Decreasing,14.35,19.54,0.0233,0.0382,0.61,0.9475208625464501
TER,54.43,Decreasing,23.77,28.45,0.0222,0.081,0.27,0.9462826543651762
TFC,34.1,Increasing,5.69,20.29,0.0223,0.0412,0.54,0.8943647439997577
TFX,222.14,Increasing,13.76,19.39,0.0094,0.0376,0.25,0.9631100828924017
TGT,94.57,Decreasing,14.77,30.59,0.0192,0.0936,0.21,0.9290475668666222
TJX,45.67,Decreasing,14.43,10.7,0.0032,0.0114,0.28,0.9661703848748475
TMO,283.74,Decreasing,21.15,14.6,0.0115,0.0213,0.54,0.9642110503441674
TMUS,75.93,Decreasing,21.28,13.9,0.0077,0.0193,0.4,0.9543204127476524
TPR,31.6,Increasing,5.52,40.71,0.0344,0.1657,0.21,0.8200735233487103
TRGP,44.65,Decreasing,17.17,49.06,0.0371,0.2407,0.15,0.8913191895886002
TRMB,42.41,Decreasing,9.72,30.86,0.0307,0.0952,0.32,0.9089237014305779
TROW,87.23,Increasing,9.81,23.69,0.0231,0.0561,0.41,0.931401876988737
TRV,113.64,Decreasing,10.73,10.92,0.0085,0.0119,0.71,0.979279132598705
TSCO,108.05,Decreasing,17.3,20.73,0.0105,0.043,0.24,0.9579736676667047
TSLA,86.25,Decreasing,72.8,132.88,0.0384,1.7658,0.02,0.9317072222581539
TSN,52.67,Increasing,11.98,24.56,0.0072,0.0603,0.12,0.9291669015081544
TTWO,91.14,Increasing,27.53,32.17,0.0161,0.1035,0.16,0.9859134915680557
TT,89.02,Decreasing,21.81,20.04,0.0196,0.0402,0.49,0.9479116621444803
TXN,93.09,Decreasing,20.22,14.67,0.0158,0.0215,0.73,0.9590723069445487
TXT,49.81,Decreasing,13.24,28.18,0.0296,0.0794,0.37,0.9218871713322142
TYL,240.39,Decreasing,19.48,20.36,0.0102,0.0414,0.25,0.9358858223377504
T,15.29,Increasing,3.14,8.92,-0.0014,0.008,-0.18,0.9471528177756491
UAL,54.99,Decreasing,7.98,26.77,0.017,0.0716,0.24,0.9622138999149429
UDR,31.26,Decreasing,9.69,15.78,0.0125,0.0249,0.5,0.9589743626020453
UHS,114.75,Increasing,9.04,17.68,0.0105,0.0313,0.34,0.9258981735779566
ULTA,257.5,Decreasing,18.89,23.32,0.0064,0.0544,0.12,0.9747336641363821
UNH,239.24,Decreasing,25.31,14.16,0.0091,0.0201,0.45,0.9718566839765996
UNP,132.51,Decreasing,14.29,15.59,0.0134,0.0243,0.55,0.9809092678051926
UPS,107.27,Decreasing,10.98,15.27,0.0149,0.0233,0.64,0.948821945520037
URI,173.56,Decreasing,28.92,41.44,0.0406,0.1717,0.24,0.9422117100328828
USB,36.97,Decreasing,5.22,19.27,0.0212,0.0371,0.57,0.8732815583933258
VLO,61.91,Decreasing,20.18,26.12,0.0065,0.0682,0.1,0.9711331443738551
VMC,118.5,Decreasing,16.26,16.13,0.0097,0.026,0.37,0.9480143776566894
VRSK,122.48,Decreasing,14.27,10.78,-0.001,0.0116,-0.09,0.9732619377529753
VRSN,136.67,Increasing,16.8,15.05,0.0011,0.0226,0.05,0.9843883792276256
VRTX,174.39,Decreasing,20.26,23.73,-0.0058,0.0563,-0.1,0.9619899507333792
VTRS,26.86,Increasing,-7.83,23.7,0.0093,0.0562,0.17,0.9595102505361367
VTR,45.45,Increasing,0.93,16.95,0.0125,0.0287,0.44,0.7816799336640652
VZ,36.53,Decreasing,2.32,10.21,0.0014,0.0104,0.13,0.9370832533442304
V,132.27,Decreasing,19.32,11.31,0.0049,0.0128,0.38,0.9854607719230447
WAB,78.5,Decreasing,8.77,19.08,0.0136,0.0364,0.37,0.8853810974523991
WAT,201.11,Decreasing,12.83,18.83,0.0202,0.0355,0.57,0.9570391164179554
WBA,44.83,Decreasing,-0.21,21.24,0.0166,0.0451,0.37,0.940249615465579
WBD,27.79,Decreasing,-7.95,23.74,0.0238,0.0563,0.42,0.9224734366791745
WDC,57.6,Decreasing,3.56,35.92,0.0336,0.129,0.26,0.8008874582499962
WEC,59.78,Decreasing,11.89,10.34,-0.0032,0.0107,-0.3,0.9770891172951848
WELL,56.8,Decreasing,8.3,18.01,0.0094,0.0324,0.29,0.9560968097923347
WFC,39.28,Increasing,5.88,22.13,0.0214,0.049,0.44,0.9299909847457936
WMB,21.99,Decreasing,8.73,26.69,0.0178,0.0712,0.25,0.878257604637462
WMT,31.37,Decreasing,10.1,9.21,0.0019,0.0085,0.22,0.9678580631910627
WM,87.32,Decreasing,17.84,8.82,0.0058,0.0078,0.74,0.9839805400359173
WRB,22.83,Decreasing,15.99,12.03,0.0019,0.0145,0.13,0.984434737819635
WST,160.43,Decreasing,28.14,24.91,0.0142,0.0621,0.23,0.9465022528783346
WTW,153.45,Decreasing,9.96,7.69,0.0052,0.0059,0.88,0.9766926496060948
WYNN,109.15,Decreasing,4.06,33.06,0.0191,0.1093,0.17,0.8357435768099299
WY,24.88,Decreasing,5.58,14.64,0.015,0.0214,0.7,0.9151955774829748
XEL,43.06,Decreasing,12.22,10.05,-0.0017,0.0101,-0.17,0.9778286349201587
XOM,62.23,Decreasing,9.53,26.92,0.0022,0.0725,0.03,0.9376832658754688
XYL,64.02,Increasing,16.86,19.2,0.0178,0.0369,0.48,0.9653550232705903
YUM,78.42,Decreasing,12.68,11.49,0.0091,0.0132,0.69,0.9834906438350605
ZBH,110.03,Decreasing,6.36,11.64,0.0082,0.0135,0.61,0.9378267018653197
ZBRA,193.35,Decreasing,26.32,39.83,0.0434,0.1586,0.27,0.9230786624863737
ZTS,96.33,Decreasing,20.49,16.29,0.009,0.0266,0.34,0.9672957326922844
